sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E8P1	springgreen4	navy	purple4	red	red	purple	red	black
E8P2	springgreen4	navy	purple4	red	red	purple	red	black
E8P3	springgreen4	navy	purple4	red	red	purple	purple	black
E8P6	springgreen4	navy	purple4	red	red	red	purple	black
E8P7	springgreen4	navy	purple4	red	red	purple	red	black
E8P8	springgreen4	navy	purple4	red	red	purple	purple	black
E8P9	springgreen4	navy	purple4	red	red	purple	purple	black
E8B1	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E8B2	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E8B3	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E8B4	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E8B5	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E8B6	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E8B7	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E8B8a	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E8B8b	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E8B8c	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E8H1	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E8X1	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E8N1	black	grey50	grey50	black	black	black	black	black
E8N2	black	grey50	grey50	black	black	black	black	black
E8N3	black	grey50	grey50	black	black	black	black	black
