sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E14P1	springgreen4	navy	purple4	red	red	purple	red	black
E14P2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E14P3	springgreen4	navy	purple4	purple	purple	purple	purple	black
E14P4	springgreen4	navy	purple4	red	red	purple	red	black
E14P5	springgreen4	navy	purple4	red	red	purple	red	black
E14P6	springgreen4	navy	purple4	red	red	red	purple	black
E14P7	springgreen4	navy	purple4	red	red	purple	purple	black
E14P8	springgreen4	navy	purple4	red	red	purple	red	black
E14P9	springgreen4	navy	purple4	red	red	purple	red	black
E14P10	springgreen4	navy	purple4	red	red	purple	purple	black
E14P11	springgreen4	navy	purple4	red	red	red	purple	black
E14B1	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E14B2	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E14B3	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E14B4	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E14B5	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E14B6	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E14B7	gold2	navy	purple4	blue	blue	blue	blue	springgreen4
E14X1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E14X2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E14X3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E14N1	gray30	grey50	grey50	black	black	black	black	black
E14N2	gray30	grey50	grey50	black	black	black	black	black
E14N3	gray30	grey50	grey50	black	black	black	black	black
E14L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E14L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E14L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E14H1	dodgerblue	navy	purple4	black	black	black	black	springgreen4
