sample	tissue_type	vertical	lateral
C146P1	springgreen4	red	red
C146P2	springgreen4	red	purple
C146P3	springgreen4	purple	purple
C146P4	springgreen4	red	purple
C146P5	springgreen4	purple	red
C146P6	springgreen4	purple	purple
C146P7	springgreen4	purple	red
C146P8	springgreen4	purple	red
C146P9	springgreen4	red	purple
C146N1	black	black	black
C146TD1	gold2	black	black
C146TD2	darkorange1	black	black
C146LN1	darkorange1	black	black
C146LN2	darkorange1	black	black
C146LN3	darkorange1	black	black
C146LN4	darkorange1	black	black
C146LN5	darkorange1	black	black
C146LN6	darkorange1	black	black
C146B1a	gold2	blue	blue
C146B1b	gold2	blue	blue
C146B1c	gold2	blue	blue
