sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E1P3	springgreen4	navy	purple4	purple	purple	purple	red	black
E1P4	springgreen4	navy	purple4	purple	purple	red	red	black
E1P5	springgreen4	navy	purple4	purple	purple	red	purple	black
E1P6	springgreen4	navy	purple4	purple	purple	red	purple	black
E1P10	springgreen4	navy	purple4	purple	purple	purple	red	black
E1P9	springgreen4	navy	purple4	purple	purple	springgreen4	springgreen4	black
E1P12	springgreen4	navy	purple4	purple	purple	red	red	black
E1L1	darkorange1	navy	purple4	black	black	black	black	springgreen4
E1L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E1L3	darkorange1	navy	purple4	black	black	black	black	springgreen4
E1L4	darkorange1	navy	purple4	black	black	black	black	springgreen4
E1L5	darkorange1	navy	purple4	black	black	black	black	springgreen4
E1L6	darkorange1	navy	purple4	black	black	black	black	springgreen4
E1L7	darkorange1	navy	purple4	black	black	black	black	springgreen4
E1L8	darkorange1	navy	purple4	black	black	black	black	springgreen4
E1B1	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E1B2	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E1B3	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E1B4	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E1B5	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E1B6	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E1B7	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E1B8	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E1X1	gold2	purple	dodgerblue3	blue	blue	blue	blue	dodgerblue
E1A1	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E1N1	black	grey50	grey50	black	black	black	black	black
E1N2	black	grey50	grey50	black	black	black	black	black
