sample	tissue_type	vertical	lateral
C158B1	gold2	blue	blue
C158B2a	gold2	blue	blue
C158B2b	gold2	blue	blue
C158B2c	gold2	blue	blue
C158B3	gold2	blue	blue
C158L1	darkorange1	black	black
C158L2	darkorange1	black	black
C158L3	darkorange1	black	black
C158N1	black	black	black
C158N2	black	black	black
C158O1a	dodgerblue	black	black
C158O1b	dodgerblue	black	black
C158O2a	dodgerblue	black	black
C158O2b	dodgerblue	black	black
C158P1	springgreen4	purple	red
C158P2	springgreen4	purple	purple
C158P3	springgreen4	purple	purple
C158P4	springgreen4	red	purple
C158P5	springgreen4	purple	purple
C158P6	springgreen4	red	purple
C158P7	springgreen4	red	purple
C158TD1a	gold2	blue	blue
C158TD1b	gold2	blue	blue
