sample	tissue_type	vertical	lateral
C157B1	gold2	blue	blue
C157B2	gold2	blue	blue
C157Di1	gold2	blue	blue
C157Di2	gold2	blue	blue
C157LN3	darkorange1	black	black
C157LN4	darkorange1	black	black
C157N1	black	black	black
C157P1	springgreen4	purple	purple
C157P10	springgreen4	red	purple
C157P2	springgreen4	red	purple
C157P3	springgreen4	purple	purple
C157P4	springgreen4	purple	red
C157P6	springgreen4	purple	purple
C157P9	springgreen4	red	purple
C157TD1	springgreen4	purple	red
C157TD2a	darkorange1	black	black
C157TD2b	darkorange1	black	black
C157TD3	darkorange1	black	black
C157TD7	darkorange1	black	black
C157TD8	darkorange1	black	black
