sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E13P1	springgreen4	navy	gray20	red	red	purple	red	black
E13P2	springgreen4	navy	gray20	purple	purple	red	purple	black
E13P3	springgreen4	navy	gray20	red	red	purple	red	black
E13P4	springgreen4	navy	gray20	purple	purple	red	purple	black
E13P5	springgreen4	navy	gray20	purple	purple	purple	red	black
E13P6	springgreen4	navy	gray20	red	red	purple	red	black
E13P7	springgreen4	navy	gray20	red	red	purple	red	black
E13P8	springgreen4	navy	gray20	red	red	purple	purple	black
E13P9	springgreen4	navy	gray20	red	red	purple	purple	black
E13OLa	dodgerblue	navy	gray20	black	black	black	black	springgreen4
E13OLb	dodgerblue	navy	gray20	black	black	black	black	springgreen4
E13OLe	dodgerblue	navy	gray20	black	black	black	black	springgreen4
E13ORa	dodgerblue	navy	gray20	black	black	black	black	springgreen4
E13ORb	dodgerblue	navy	gray20	black	black	black	black	springgreen4
E13ORc	dodgerblue	navy	gray20	black	black	black	black	springgreen4
E13B4	gold2	navy	gray20	blue	blue	blue	blue	springgreen4
E13B5	gold2	navy	gray60	blue	blue	blue	blue	dodgerblue
E13OLd	dodgerblue	navy	gray20	black	black	black	black	springgreen4
E13OLc	dodgerblue	navy	gray20	black	black	black	black	springgreen4
E13ORd	dodgerblue	navy	gray20	black	black	black	black	springgreen4
E13L1	darkorange1	navy	gray20	black	black	black	black	springgreen4
E13H1a	dodgerblue	navy	gray40	black	black	black	black	springgreen4
E13H1b	dodgerblue	navy	gray40	black	black	black	black	springgreen4
E13H1c	dodgerblue	navy	gray40	black	black	black	black	springgreen4
E13H1d	dodgerblue	navy	gray40	black	black	black	black	springgreen4
E13H1e	dodgerblue	navy	gray40	black	black	black	black	springgreen4
E13X1	darkorange1	navy	gray20	black	black	black	black	springgreen4
E13X2	darkorange1	navy	gray20	black	black	black	black	springgreen4
E13X3	darkorange1	navy	gray60	black	black	black	black	dodgerblue
E13N1	gray30	grey50	black	black	black	black	black	black
E13N2	gray30	grey50	black	black	black	black	black	black
