sample	tissue_type	grade	grading	vertical	lateral	timing_mets
E17P1	springgreen4	purple	purple	red	purple	black
E17P2	springgreen4	purple	purple	red	purple	black
E17P3	springgreen4	purple	purple	red	red	black
E17P5	springgreen4	purple	purple	red	purple	black
E17P4	springgreen4	purple	purple	black	black	black
E17P6	springgreen4	purple	purple	red	purple	black
E17P7	springgreen4	purple	purple	red	red	black
E17P8	springgreen4	purple	purple	red	purple	black
E17P9	springgreen4	purple	purple	red	purple	black
E17P10	springgreen4	purple	purple	purple	purple	black
E17P11	springgreen4	purple	purple	red	purple	black
E17P12	springgreen4	purple	purple	red	purple	black
E17P13	springgreen4	purple	purple	red	purple	black
E17B1	gold2	blue	blue	blue	blue	springgreen4
E17B2	gold2	blue	blue	blue	blue	springgreen4
E17B3	gold2	blue	blue	blue	blue	springgreen4
E17B4	gold2	blue	blue	blue	blue	springgreen4
E17B5	gold2	blue	blue	blue	blue	springgreen4
E17B6	gold2	blue	blue	blue	blue	dodgerblue
E17B7	gold2	blue	blue	blue	blue	dodgerblue
E17B8	gold2	blue	blue	blue	blue	dodgerblue
E17B9	gold2	blue	blue	blue	blue	dodgerblue
E17X2	springgreen4	purple	purple	red	purple	black
E17L1	brown	black	black	black	black	springgreen4
E17N1	black	black	black	black	black	black
E17N3	black	black	black	black	black	black
