sample	tissue_type	treatment	resection_procedure	grade	grading	vertical	lateral	timing_mets
E6P1	springgreen4	navy	purple4	purple	purple	purple	red	black
E6P2	springgreen4	navy	purple4	purple	purple	purple	red	black
E6P3	springgreen4	navy	purple4	purple	purple	purple	purple	black
E6P4	springgreen4	navy	purple4	purple	purple	purple	purple	black
E6P5	springgreen4	navy	purple4	purple	purple	purple	red	black
E6P6	springgreen4	navy	purple4	purple	purple	purple	purple	black
E6P7	springgreen4	navy	purple4	purple	purple	red	purple	black
E6P8	springgreen4	navy	purple4	red	red	red	purple	black
E6P9	springgreen4	navy	purple4	purple	purple	purple	red	black
E6L1a	darkorange1	navy	purple4	black	black	black	black	springgreen4
E6L2	darkorange1	navy	purple4	black	black	black	black	springgreen4
E6B1	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E6B2	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E6B3	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E6B4	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E6B5	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E6B7d	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E6OL	dodgerblue	purple	springgreen1	black	black	black	black	dodgerblue
E6B7a	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E6B7b	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E6B7c	gold2	purple	springgreen1	blue	blue	blue	blue	dodgerblue
E6H1a	dodgerblue	navy	dodgerblue3	black	black	black	black	springgreen4
E6H1b	dodgerblue	navy	dodgerblue3	black	black	black	black	springgreen4
E6H2a	dodgerblue	navy	dodgerblue3	black	black	black	black	springgreen4
E6H2b	dodgerblue	navy	dodgerblue3	black	black	black	black	springgreen4
E6H3a	dodgerblue	navy	dodgerblue3	black	black	black	black	springgreen4
E6H3b	dodgerblue	navy	dodgerblue3	black	black	black	black	springgreen4
E6H3c	dodgerblue	navy	dodgerblue3	black	black	black	black	springgreen4
E6N2	black	grey50	grey50	black	black	black	black	black
E6N1	black	grey50	grey50	black	black	black	black	black
