	Liv1a	Liv1b	Liv2	Liv3	Liv4	Normal1	PT1	PT2	PT3	PT4
Liv1a	0	0.835720342575951	0.734657916882239	0.630153387771582	0.788715660699576	1.0471975511966	0.811856597933371	0.697571436015549	0.695561489622743	0.785372737755165
Liv1b	0.835720342575951	0	1.4744187770814	1.36136935326902	1.5063506910921	1.0471975511966	1.51356889716318	1.43613109994198	1.42484037294665	1.49776569738816
Liv2	0.734657916882239	1.4744187770814	0	0.327728285675683	0.320129088750365	1.0471975511966	0.382452168081361	0.401222182722521	0.262546346776107	0.33128632575369
Liv3	0.630153387771582	1.36136935326902	0.327728285675683	0	0.34191207462226	1.0471975511966	0.33472694825338	0.245964732525111	0.222601618788135	0.284594245989353
Liv4	0.788715660699576	1.5063506910921	0.320129088750365	0.34191207462226	0	1.0471975511966	0.223383761778554	0.445135027759536	0.20533205198714	0.273337163494275
Normal1	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966	0	1.0471975511966	1.0471975511966	1.0471975511966	1.0471975511966
PT1	0.811856597933371	1.51356889716318	0.382452168081361	0.33472694825338	0.223383761778554	1.0471975511966	0	0.408385628610665	0.23338714817283	0.180752602176579
PT2	0.697571436015549	1.43613109994198	0.401222182722521	0.245964732525111	0.445135027759536	1.0471975511966	0.408385628610665	0	0.352711259035172	0.321679032274225
PT3	0.695561489622743	1.42484037294665	0.262546346776107	0.222601618788135	0.20533205198714	1.0471975511966	0.23338714817283	0.352711259035172	0	0.22696432882331
PT4	0.785372737755165	1.49776569738816	0.33128632575369	0.284594245989353	0.273337163494275	1.0471975511966	0.180752602176579	0.321679032274225	0.22696432882331	0
